country_co,country_na,Tree cover areas,Open Water,Shrubs cover areas,Grassland,Cropland,Vegetation aquatic or regularly flooded,Lichens Mosses / Sparse vegetation,Bare areas,Built up areas
SU,Sudan,68204.57632784311,4369.565981176471,103611.06543686263,212324.24214274512,401675.3351764706,838.5407654901959,25579.802977254898,985953.769841569,2066.215118431373
CV,Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,Comoros,1307.3453003921563,21.603096470588227,5.135943529411765,158.12375999999995,45.41289254901961,18.442166274509812,NA,3.7836878431372547,33.82438588235295
MF,Mayotte,319.95390745097984,6.2492658823529315,0.0372,10.676007843137262,3.1599090196078436,0.6659403921568625,NA,0.30913254901960785,17.6189474509804
TP,Sao Tome & Principe,721.4941568627444,13.583247058823519,4.851541960784314,5.713090196078433,164.40611921568626,8.41098509803922,NA,NA,13.561107450980389
ER,Eritrea,4297.151640784311,129.3595984313725,8065.6570054901995,37537.09603450982,20468.485530980386,131.74984000000003,2378.20397647059,45153.6296470588,96.14457411764705
DJ,Djibouti,8.60212705882353,145.27744156862747,229.0199341176471,4205.278956862741,175.83403294117647,149.6142149019608,100.80514039215684,15923.895209411763,36.238012549019615
WA,Namibia,12451.110949019603,2100.674128627452,311456.21458039223,238348.46673725502,16423.487824313717,1506.6437098039214,54167.81029960782,205890.43062745096,261.12110588235294
MR,Mauritania,5933.243562352939,677.4766211764703,6043.793383529414,85760.61570980397,95818.06045019618,446.0309019607842,231.1155623529412,852298.6922964709,181.59646274509802
UV,Burkina Faso,49991.494183529416,733.6884564705883,62287.70961882358,47382.8435717647,101586.14307607844,194.93050666666662,345.34568784313717,1796.1991890196082,638.4149427450981
MZ,Mozambique,267264.07100392133,11810.37169098039,120302.620117647,264485.86968313734,113838.40166431377,1172.5152203921568,317.2152298039215,603.9912533333328,1005.5958007843135
LT,Lesotho,763.4023388235292,75.59374431372548,13666.11981019607,9880.64840627451,8079.125557647059,2.296967843137255,82.56254745098039,530.777130980392,110.36290352941177
TZ,Tanzania,273331.4421552941,55723.46365019605,132632.88221647064,225439.56446274515,204880.4415294117,1531.8899137254898,520.0854964705882,1408.2381364705884,1634.4213019607846
NI,Nigeria,234736.3496737255,7660.413579607843,92385.27425882351,113447.03253647058,406718.7255890195,4449.768865882352,61.24338666666668,3523.4757003921573,10648.35799215686
ET,Ethiopia,185669.6018666665,7495.568983529408,222113.50451921558,315083.00750431337,281217.4877317648,1378.658663529412,10576.921254901958,57865.51143058821,1154.8208470588233
WZ,Swaziland,4390.558718431373,75.52705098039215,7013.5088894117625,2978.3303733333328,3775.2608188235295,6.6316,21.025342745098037,10.407010196078433,73.66208156862744
ZI,Zimbabwe,85463.48462117647,3979.569902745096,127864.89152941169,69949.19994039215,102153.61540235292,487.7476752941176,418.2795529411766,210.99159215686285,644.9407450980392
CD,Chad,111216.89248941181,2831.7070117647045,66381.58218196078,185669.02793411753,214816.81549490194,852.9506086274513,123.94899450980392,668067.3133066674,446.13614745098033
MA,Madagascar,256075.91297254895,8828.711330196082,64939.40186352937,211647.46482666663,47347.76032470591,2733.726467450983,42.296934901960796,994.2908878431373,578.9014290196079
LI,Liberia,84111.05860705877,222.79752000000025,121.41885019607845,2538.0434917647062,3804.8797474509774,235.96602823529417,NA,0.32263686274509806,287.88961882352925
BN,Benin,40060.998389019594,400.5361364705875,21081.08359215687,18504.201607843144,29908.51441254901,90.72578666666662,0.31441411764705884,47.60897411764706,817.7123513725481
MI,Malawi,14931.560572549015,23792.34099294117,6226.793907450977,24809.250629019603,45137.38808941173,127.41471999999999,7.240963137254902,21.98418980392157,443.1951137254902
EK,Equatorial Guinea,24437.124172548978,89.00088941176438,5.077008627450981,170.9596329411765,513.4370227450979,143.49588392156863,NA,NA,71.72072784313724
BC,Botswana,19429.786763921566,1950.7988313725486,417664.3544125489,116707.11949176464,13482.376089411764,1293.532862745098,196.98620549019606,19591.172249411775,635.2206007843135
